itemid,title,publisher
189556735,캡틴 아메리카 : 스티브 로저스 Vol.1 하이드라 만세,sigongsa
189556979,호크아이 vs. 데드풀,sigongsa
193168518,리그 오브 레전드 : 애쉬 - 전쟁의 어머니,sigongsa
192372034,스파이더맨 / 데드풀 VOL. 4 : 진지한 일,sigongsa
192372401,아쿠아맨 Vol.2 : 블랙 만타의 역습,sigongsa
192372644,언캐니 어벤저스 Vol.3 : 시빌 워 II,sigongsa
192721883,엑스맨 : 피닉스 인 다크니스,sigongsa
192725041,배트맨/플래시 : 더 버튼 디럭스 에디션,sigongsa
192531231,인빈시블 아이언 맨 Vol. 2 : 워 머신 군단,sigongsa
192536842,저스티스 리그 VS. 수어사이드 스쿼드,sigongsa
194375264,스파이더맨 / 데드풀 VOL. 5 : 무기 경쟁,sigongsa
195148122,배트맨 / 닌자 거북이 Vol. 1,sigongsa
195148244,어메이징 스파이더맨 : 클론 컨스피러시 Vol. 1,sigongsa
195148357,고담 센트럴 Book 4 : 코리건,sigongsa
195148371,어메이징 스파이더맨 : 클론 컨스피러시 Vol. 2,sigongsa
195148639,올스타 배트맨 Vol.3 : 첫 번째 동지,sigongsa
198414801,헐크 : 그레이,sigongsa
199716143,웨폰스 오브 뮤턴트 디스트럭션,sigongsa
199715514,아메리칸 뱀파이어 Vol. 5,sigongsa
199715800,배트맨 주식회사,sigongsa
203349061,배트맨 어드벤처 : 매드 러브 디럭스 에디션,sigongsa
206078868,배트맨 : 언더 더 레드 후드,sigongsa
