itemid,title
143143291,뉴 어벤저스 Vol.3 : Other Worlds
143143292,데드풀 Vol. 3
146565900,아쿠아맨 Vol.4 : 왕의 죽음
146971188,디센더 Vol. 3 : 특이점
147874266,데드풀 & 케이블 2
147931262,페이블즈 디럭스 에디션 13
149309332,(뉴 52) 저스티스 리그 8 : 다크사이드 워 PART 2
151332058,아메리칸 뱀파이어 Vol. 3
151523600,고담 센트럴 Book 3 : 변종 순찰
151523602,앤트맨과 와스프 프렐류드
151524111,어두운 밤 : 진짜 배트맨 이야기
151524301,어메이징 스파이더맨 : 다잉 위시
152188714,스파이더맨 / 데드풀 VOL. 0 : 이건 팀업이 아니야
156519530,토르 천둥의 신 Vol.2 : 신폭탄
157656177,헬보이 Hellboy 3
157663272,비전 이슈 1
158316597,배트맨 Vol.1 : 나는 고담이다
158316924,슈퍼맨 Vol. 1 : 슈퍼맨의 아들
158317701,플래시 Vol. 1 : 번개는 두 번 친다
158380348,사가 Vol. 6
158380626,DC 유니버스 리버스 : 디럭스 에디션
163232008,비전 이슈 2
163232150,(뉴 52) 배트맨 Vol.3 : 가족의 죽음
163232626,수어사이드 스쿼드 Vol. 1 : 블랙 볼트
163675863,아메리칸 뱀파이어 Vol. 4
163676614,배트맨 디텍티브 코믹스 Vol.1 : 배트맨들의 출현
164081860,(뉴 52) 배트맨 Vol.4 : 제로 이어 - 비밀의 도시
164088107,캡틴 아메리카 : 로드 투 리본
168458083,헬보이 Hellboy 4
168458173,비전 이슈 3
168674629,어메이징 스파이더맨 : 원 모어 데이
168674969,아쿠아맨 Vol.1 : 침몰
168675223,올스타 배트맨 Vol.1 : 내 최악의 적
168718381,캡틴 아메리카 : 리본
168719150,미즈 마블 4
171159493,수어사이드 스쿼드 Vol. 2 : 제정신으로
171159633,스타워즈 : 메이드 이지
171159757,디센더 Vol. 4 : 궤도 역학
171159762,비전 이슈 4
171159798,가디언즈 오브 더 갤럭시 Vol.5 : 거울에 비친 나
171255555,배트맨 : 몬스터 맨들의 밤
171256645,"슈퍼맨 Vol. 2 : 슈퍼 선, 시험받다"
171257057,페이블즈 디럭스 에디션 14
173872321,토르 천둥의 신 Vol.3 : 저주받은 자
173872885,비전 이슈 5
173876508,배트맨 Vol.2 : 나는 자살이다
174227692,액션 코믹스 #1000 디럭스 에디션
174227757,FF 에프에프 3
174227772,디센더 Vol. 5 : 로봇의 봉기
174228469,배트맨 디텍티브 코믹스 Vol.2 : 빅팀 신디케이트
174274719,사가 Vol. 7
174275002,FF 에프에프 4
174275311,올스타 배트맨 Vol.2 : 지구의 끝
174856184,아쿠아맨 재정가 세트 - 전4권
176410106,스타워즈 Vol.5 : 요다의 비밀 전쟁
176410469,비전 이슈 6
176410651,엑스맨 : 신은 사랑하고 인간은 살해한다
176657260,페이블즈 디럭스 에디션 15
176658353,배트맨 : 다크 프린스 차밍
176658887,스타워즈 : 오비완과 아나킨
176779139,스타워즈 제다이 아카데미 Vol. 1
176779327,스타워즈 제다이 아카데미 Vol. 2
176779537,스타워즈 제다이 아카데미 Vol. 3
176779706,스타워즈 제다이 아카데미 트릴로지 박스 세트 1~3 - 전3권
179221598,시크릿 엠파이어 전주곡
178986701,닥터 스트레인지 Vol.1
178987104,언캐니 어벤저스 Vol.1
178987157,플래시 Vol. 2 : 어둠의 속도
178987788,인빈시블 아이언 맨 Vol. 1: 리부트
179220089,언캐니 어벤저스 Vol.2
179220569,비전 Vol. 1 : 인간보다 못할 것 없는
179221181,어벤저스 : 타임 런즈 아웃
179219849,비전 이슈 8
182498965,비전 이슈 9
182499404,비전 이슈 10
182498415,헬보이 Hellboy 5
183765406,배트맨 Vol.3 : 나는 베인이다
183765937,플래시 Vol. 3 : 로그즈 재장전
183766622,펑크 록 지저스
184142320,미즈 마블 1~4 정가 인하 세트 - 전4권
186770602,비전 이슈 11
186770295,시빌 워 2 : 후유증
187039128,헬보이 Hellboy 6
187039191,헬보이 4~6 (25주년 세트) - 전3권
186770744,비전 이슈 12
189556431,왓치맨 디럭스 에디션
188276105,시빌 워 2 스페셜 에디션 (한정판)
188276318,올뉴 올디퍼런트 어벤저스
188276452,비전 Vol. 2 : 짐승보다 나을 것 없는
188276527,시빌 워 2
188341015,마블 나우! 어벤저스 세트 - 전3권
188276428,마블 스튜디오 어벤저스 : 엔드게임 프렐류드
189555968,사가 Vol. 8
189556234,스파이더맨 : 블루
189556735,캡틴 아메리카 : 스티브 로저스 Vol.1 하이드라 만세
189556979,호크아이 vs. 데드풀
193168518,리그 오브 레전드 : 애쉬 - 전쟁의 어머니
191666384,아이 엠 아이언 맨 세트 1~2 - 전2권 (재정가 세트)
192372034,스파이더맨 / 데드풀 VOL. 4 : 진지한 일
192372401,아쿠아맨 Vol.2 : 블랙 만타의 역습
192372644,언캐니 어벤저스 Vol.3 : 시빌 워 II
192721883,엑스맨 : 피닉스 인 다크니스
192725041,배트맨/플래시 : 더 버튼 디럭스 에디션
192531231,인빈시블 아이언 맨 Vol. 2 : 워 머신 군단
192536842,저스티스 리그 VS. 수어사이드 스쿼드
194375264,스파이더맨 / 데드풀 VOL. 5 : 무기 경쟁
195148244,어메이징 스파이더맨 : 클론 컨스피러시 Vol. 1
195148357,고담 센트럴 Book 4 : 코리건
195148371,어메이징 스파이더맨 : 클론 컨스피러시 Vol. 2
195148474,어메이징 스파이더맨 : 클론 컨스피러시 세트 - 전2권
195148531,엑스맨 : 다크 피닉스 세트 - 전2권
195148639,올스타 배트맨 Vol.3 : 첫 번째 동지
196545385,스파이더맨 / 데드풀 VOL. 1~3 세트 - 전3권
198414801,헐크 : 그레이
199716143,웨폰스 오브 뮤턴트 디스트럭션
199715514,아메리칸 뱀파이어 Vol. 5
199715800,배트맨 주식회사
206078868,배트맨 : 언더 더 레드 후드
239403133,배트맨 : 언더 더 레드 후드
203347557,캡틴 아메리카 : 스티브 로저스 Vol.2 마리아 힐의 재판
204208227,배트맨 Vol.4 : 농담과 수수께끼의 전쟁
204208866,비포 왓치맨 : 미닛맨/실크 스펙터
208552908,배트맨 디텍티브 코믹스 : #1000 디럭스 에디션
208556248,닥터 스트레인지 Vol.2 : 마법의 마지막 날들
208557950,디센더 Vol. 6 : 기계 전쟁
208559539,헬보이 Hellboy 7
207828144,(뉴 52) 배트맨 Vol.5 : 제로 이어 - 어둠의 도시
207828506,(뉴 52) 배트맨 Vol.6 : 야간 순찰
208545991,배트맨 : 허쉬 (15주년 디럭스 에디션)
208548587,배트맨 : 화이트 나이트
208550968,비포 왓치맨 : 코미디언/로어셰크
208872100,조커
208875620,조커 + DC 캘린더 세트 (2020년)
211732715,디펜더스 Vol. 1 : 다이아몬드는 영원히
211733422,데어데블 : 옐로우
212300996,인빈시블 아이언 맨 Vol. 3 : 시빌 워 II
212301242,토르 천둥의 신 Vol.4 : 미드가르드 최후의 날
212301448,헬보이 Hellboy 8 : 어둠의 부름
212300480,배트맨 : 어스 원 Vol.1
217411627,리그 오브 레전드 : 럭스
217094962,닥터 스트레인지 Vol.3 : 에테르에 흐르는 피
217099663,디펜더스 Vol. 2 : 뉴욕의 킹핀들
217186985,마블 테일즈 : 어벤저스 1
217186986,배트맨 : 메탈-다크 나이츠 라이징
217187204,배트맨 : 메탈
217188126,배트맨 : 로드 투 메탈
198322365,마블 백과사전 개정판 2019
221695265,닥터 스트레인지 Vol.4 : 미스터 미저리
221695583,언캐니 어벤저스 Vol.4 : 레드 스컬
222673095,사가 Vol. 9
221695956,배트맨 : 어스 원 Vol.2
227737957,헬보이 Hellboy 9 : 와일드 헌트
227738271,S.H.I.E.L.D. : 영원의 설계자들
227741084,닥터 둠 : 인퍼머스 아이언 맨 Vol. 1
227745724,어벤저스 : 레이지 오브 울트론
228673652,스파이더맨 / 데드풀 VOL. 6 : Wlmd
228673856,스파이더맨 / 데드풀 VOL. 6 + 박스 세트
228674163,스파이더맨 / 데드풀 VOL. 4~6 세트 - 전3권
228672518,배트걸과 버즈 오브 프레이 Vol.1 : 오라클의 정체는?
228672779,배트걸과 버즈 오브 프레이 Vol.2 : 소스 코드
228673046,배트걸과 버즈 오브 프레이 Vol.3 : 풀 서클
228673312,할리 퀸과 버즈 오브 프레이
228673465,히어로즈 인 크라이시스
233421167,닥터 둠 : 인퍼머스 아이언 맨 Vol. 2
233421302,캡틴 아메리카 : 스티브 로저스 Vol.3 제국 건설
233421569,오리지널 신
233623900,비포 왓치맨 : 나이트 아울/닥터 맨해튼
233624938,슈퍼맨 액션 코믹스 Vol.3
234688349,배트맨 : 댐드
234689117,할린
235913324,배트맨 디텍티브 코믹스 Vol.3 : 리그 오브 섀도우
235913678,배트맨 주식회사 Vol. 1 : 데몬 스타
